Time,Force,D1,D2,D3,D4,D5,D6,D7
0.0116,8920.779116,10.87401506,7.17716491,4.779527185,2.358267455,0.964566737,0.114173174,-0.011811025
0.0118,9004.188402,11.24803128,7.480314448,5.027559041,2.53936988,1.074803128,0.14173226,-0.015748031
0.012,9059.793945,11.59055138,7.76377964,5.26377964,2.71653533,1.192913413,0.173228353,-0.015748031
0.0122,9099.51271,11.8976386,8.023622752,5.492126197,2.893701018,1.314960838,0.212598458,-0.015748031
0.0124,9115.400346,12.1732285,8.263779012,5.708660928,3.070865614,1.44094467,0.251968413,-0.015748031
0.0126,9119.37207,12.42125943,8.484251557,5.909448741,3.244094281,1.570865958,0.303149491,-0.015748031
0.0128,9115.400391,12.63385754,8.681102573,6.098425208,3.409448712,1.70078729,0.354330659,-0.015748031
0.013,9099.512695,12.82283497,8.858267784,6.271653652,3.570866346,1.830708623,0.413385838,-0.015748031
0.0132,9083.625947,12.98818889,9.01968588,6.429134042,3.724409477,1.960630075,0.476378024,-0.011811025
0.0134,9063.766647,13.1299206,9.157479881,6.574802948,3.870078398,2.090551017,0.543306842,-0.007874016
0.0136,9043.907257,13.25196817,9.279527455,6.704724073,4.007873743,2.216535091,0.614173084,-2.99211E-08
0.0138,9028.019546,13.35826864,9.385826975,6.818897619,4.133858084,2.34251964,0.688976332,0.007874001
0.014,9016.104492,13.45275593,9.480315208,6.925197124,4.251968384,2.46062994,0.767716527,0.015748031
0.0142,9012.131836,13.53936965,9.566928939,7.019685343,4.362205119,2.578740225,0.850393788,0.031496063
0.0144,9016.104447,13.6220472,9.649606481,7.106299131,4.460629671,2.685039251,0.933070629,0.043307043
0.0146,9028.019501,13.70472416,9.728346675,7.188976615,4.55118066,2.791338473,1.01968485,0.062992066
0.0148,9051.850571,13.78740206,9.80708687,7.263779565,4.633858606,2.885826736,1.106299191,0.078740142
0.015,9083.625977,13.86614227,9.881889343,7.334645748,4.712598801,2.976377964,1.192913413,0.102362208
0.0152,9119.3721,13.94881923,9.956693724,7.405511931,4.783464492,3.059055403,1.283464745,0.125984281
0.0154,9163.062364,14.03149578,10.0275591,7.472441016,4.850393592,3.137795224,1.370078414,0.153543218
0.0156,9214.696198,14.11417279,10.09842479,7.53936994,4.917322992,3.208661198,1.452755778,0.181102305
0.0158,9278.246034,14.2047252,10.16929239,7.602362573,4.980314672,3.275590598,1.535432979,0.208661392
0.016,9341.795898,14.29921341,10.24015808,7.665354252,5.043307304,3.338582754,1.614173174,0.24015747
0.0162,9409.317142,14.40157467,10.31102347,7.728346109,5.102362394,3.401574611,1.688976168,0.275590419
0.0164,9484.782378,14.5078747,10.38976398,7.791339041,5.161417574,3.46063006,1.759842665,0.311023683
0.0166,9556.27527,14.61811045,10.4685038,7.85433042,5.216535448,3.51968491,1.826771616,0.346456647
0.0168,9627.769078,14.73228296,10.54724362,7.917322753,5.267716616,3.574803083,1.889763473,0.385826586
0.017,9691.318359,14.84645653,10.62992096,7.980314732,5.322834492,3.625984192,1.948818922,0.429133892
0.0172,9754.867923,14.96062904,10.71259844,8.043307065,5.374015628,3.677165328,2.007873773,0.472440778
0.0174,9806.503021,15.07480356,10.79527584,8.10629952,5.425197244,3.728346676,2.05905518,0.515748114
0.0176,9850.193268,15.18897703,10.87401566,8.169291376,5.476377874,3.775590568,2.110236316,0.559055
0.0178,9881.967592,15.30708631,10.9566932,8.232283233,5.531495689,3.818897455,2.161417215,0.606298953
0.018,9897.855469,15.42125988,11.03543377,8.295275688,5.57874012,3.866141796,2.204724312,0.649606287
0.0182,9897.855529,15.53149563,11.11023682,8.358267545,5.629921256,3.909448742,2.251968442,0.696850239
0.0184,9881.967743,15.63385886,11.18503967,8.413385511,5.677165121,3.956693024,2.291338772,0.740157635
0.0186,9850.19345,15.72440892,11.255905,8.468503862,5.72440949,3.99999991,2.330708682,0.783464491
0.0188,9798.558956,15.80314877,11.31496012,8.519685476,5.771653383,4.043307035,2.370078622,0.826771497
0.019,9731.037109,15.86614132,11.36614227,8.566929817,5.81496048,4.082677364,2.405511856,0.870078743
0.0192,9647.629208,15.9094485,11.40944946,8.60629922,5.85433042,4.122047244,2.44094479,0.909448682
0.0194,9548.33182,15.94488147,11.44094473,8.641732276,5.89370066,4.1574803,2.472441048,0.944881976
0.0196,9429.176999,15.96062943,11.46456715,8.673228204,5.929133802,4.192913472,2.507873952,0.98031491
0.0198,9290.162924,15.96456718,11.4763774,8.692912965,5.956693082,4.2244094,2.53936988,1.015747844
0.02,9139.231445,15.95275593,11.48031521,8.708661079,5.984251976,4.255905628,2.56692934,1.047244072
0.0202,8972.414727,15.92519677,11.47637755,8.720472276,6.003937184,4.287401556,2.59842503,1.07874
0.0204,8797.652012,15.88188925,11.46456715,8.720472306,6.019685298,4.311023772,2.62598446,1.106299311
0.0206,8618.919277,15.82677186,11.44488242,8.712598801,6.031496048,4.334645688,2.653543412,1.129921287
0.0208,8424.299029,15.76378,11.41338557,8.696850957,6.039370447,4.350393682,2.67716518,1.157480179
0.021,8221.733398,15.69291401,11.37401581,8.677165985,6.039370537,4.366141796,2.700787306,1.181102395
0.0212,8015.198051,15.61417419,11.32677192,8.653543532,6.035433292,4.374015808,2.72440952,1.204724371
0.0214,7808.660741,15.52362233,11.27165401,8.618110597,6.023622006,4.38188982,2.748031646,1.228346497
0.0216,7602.124904,15.42519778,11.20866218,8.582676948,6.007874519,4.385827065,2.767716586,1.248031467
0.0218,7391.617876,15.31102434,11.14173258,8.535433085,5.9881894,4.385827065,2.78346458,1.271653353
0.022,7185.080078,15.18897724,11.0629921,8.484251976,5.964566708,4.38188982,2.799212456,1.291338563
0.0222,6986.488578,15.05905581,10.97637874,8.425196887,5.937008024,4.374015808,2.811023652,1.311023533
0.0224,6791.866337,14.92913413,10.88188916,8.358267634,5.905511766,4.362205029,2.82283476,1.330708683
0.0226,6601.218135,14.79527691,10.78346461,8.287401319,5.866141856,4.350393802,2.834645718,1.350393623
0.0228,6414.542103,14.657482,10.67716662,8.208661528,5.822835238,4.330708684,2.84251976,1.370078593
0.023,6239.779297,14.51181126,10.56692886,8.129920959,5.77559042,4.311023712,2.846456766,1.389763713
0.0232,6065.01873,14.35826838,10.45275635,8.047244371,5.72440976,4.283465029,2.850393772,1.409448683
0.0234,5898.199893,14.20472497,10.33464503,7.956692992,5.665354609,4.251968324,2.850393772,1.425196916
0.0236,5739.326474,14.04724533,10.20866227,7.862204732,5.602362276,4.216535628,2.846456796,1.444881856
0.0238,5588.396323,13.8937015,10.08661533,7.763780179,5.535433651,4.177165777,2.84251976,1.460629969
0.024,5441.437012,13.73622036,9.960629463,7.661417484,5.464567184,4.133858204,2.830708742,1.476377964
0.0242,5302.422906,13.58267749,9.830708983,7.55511898,5.389764548,4.086614312,2.818897546,1.492125928
0.0244,5167.379123,13.42519635,9.700787305,7.448818504,5.311024039,4.035433172,2.80314967,1.507874042
0.0246,5028.365018,13.26771671,9.570866854,7.342519969,5.228346498,3.976378084,2.7834647,1.519685149
0.0248,4897.294181,13.1063003,9.44094548,7.236220988,5.145669432,3.917323233,2.759842576,1.531496077
0.025,4770.194336,12.94094563,9.311023712,7.129921436,5.059055328,3.854330778,2.732283592,1.539370179
0.0252,4655.011165,12.77559156,9.177166524,7.015748443,4.968504311,3.787401975,2.70472467,1.547244072
0.0254,4535.854739,12.61417264,9.047243803,6.905512094,4.88188964,3.720472216,2.669291436,1.555118084
